"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"F",2006-06-10,20234,"2023","ANTIOQUIA","JERICÓ","Estrato 2","N","TÉCNICO/ACADÉMICO",68,53,59,70,63,313,4,3,3,3,"A2",60.5359317702055,3
"M",2004-12-13,20214,"2021","VALLE","BUENAVENTURA","Estrato 3","N","TÉCNICO/ACADÉMICO",41,34,51,45,50,217,2,1,2,2,"A1",64.1206820860221,4
"M",2004-06-21,20204,"2020","CAUCA","SUCRE","Estrato 2","N","ACADÉMICO",42,40,40,30,32,188,2,2,1,1,"A-",38.0454958505231,1
"M",2005-01-19,20214,"2021","SUCRE","LA UNIÓN","Estrato 1","N","ACADÉMICO",49,48,45,46,48,235,2,2,2,2,"A1",43.5616714709241,2
"F",2003-07-21,20214,"2021","TOLIMA","ANZOÁTEGUI","Estrato 1","N","TÉCNICO",38,39,32,37,32,181,2,2,1,1,"A-",36.4686894219607,1
"M",2004-09-23,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",42,50,42,43,46,222,2,2,2,2,"A-",54.2549883129302,3
"F",2006-09-30,20224,"2022","CORDOBA","MONTELÍBANO","Estrato 1","N","ACADÉMICO",54,48,38,36,34,216,3,2,1,1,"A-",55.9454294816923,3
"M",2005-01-05,20214,"2021","NORTE SANTANDER","VILLA DEL ROSARIO","Estrato 2","N","TÉCNICO/ACADÉMICO",48,54,46,48,56,248,2,3,2,2,"A1",48.8572150395067,2
"F",2005-04-18,20234,"2023","BOLIVAR","PINILLOS","Estrato 3","N","ACADÉMICO",39,27,31,35,33,165,2,1,1,1,"A-",36.6081454284488,1
"F",2005-11-15,20224,"2022","BOLIVAR","SAN JACINTO","Estrato 3","N","ACADÉMICO",66,66,64,71,73,336,4,3,4,3,"B1",52.2175422462808,3
"F",2005-05-18,20224,"2022","ANTIOQUIA","MEDELLÍN","Estrato 4","N","ACADÉMICO",73,70,73,71,82,363,4,3,4,4,"B+",61.655056832061,3
"M",2003-03-19,20234,"2023","CAUCA","GUAPÍ","Sin Estrato","N","NO APLICA",34,36,39,35,37,180,1,2,1,1,"A-",41.9356502631277,2
"F",1993-11-25,20224,"2022","ATLANTICO","BARRANQUILLA","Estrato 1","N","ACADÉMICO",36,35,23,31,40,160,2,1,1,1,"A-",35.9544151141021,1
"F",2005-08-13,20224,"2022","CUNDINAMARCA","SOACHA","Estrato 3","N","ACADÉMICO",39,35,36,39,51,192,2,1,1,1,"A1",46.0002445414142,2
"F",2005-10-03,20224,"2022","ANTIOQUIA","MEDELLÍN","Estrato 5","N","ACADÉMICO",80,75,80,66,100,386,4,4,3,4,"B+",77.5578633305757,4
